activation_hidden,activation_output,num_units1,num_units2,dropout,optimizer,Accuracy
relu,relu,256.0,256.0,0.0,sgd,0.0
relu,relu,128.0,128.0,0.5,adam,0.0
relu,relu,64.0,64.0,0.0,adam,0.0
relu,relu,128.0,256.0,0.5,adam,0.0
relu,relu,128.0,32.0,0.0,adam,0.0
relu,relu,128.0,64.0,0.0,adam,0.0
relu,relu,64.0,64.0,0.5,adam,0.0
relu,relu,64.0,128.0,0.5,adam,0.0
relu,relu,32.0,32.0,0.0,adam,0.0
relu,relu,32.0,32.0,0.5,adam,0.0
sigmoid,relu,256.0,128.0,0.0,adam,0.0
sigmoid,tanh,128.0,128.0,0.5,adam,0.0
relu,relu,64.0,32.0,0.5,sgd,0.0
sigmoid,relu,128.0,128.0,0.0,adam,0.0
relu,relu,32.0,64.0,0.0,adam,0.0
relu,relu,64.0,32.0,0.0,adam,0.0
relu,relu,256.0,64.0,0.0,adam,0.0
sigmoid,relu,64.0,128.0,0.0,adam,0.0
sigmoid,tanh,32.0,256.0,0.5,sgd,0.0
relu,relu,128.0,32.0,0.5,adam,0.0
relu,relu,256.0,32.0,0.0,adam,0.0
sigmoid,relu,128.0,64.0,0.5,sgd,0.0
relu,tanh,64.0,128.0,0.5,sgd,0.0
sigmoid,relu,64.0,32.0,0.0,adam,0.0
relu,relu,64.0,256.0,0.5,adam,0.0
sigmoid,relu,64.0,256.0,0.0,adam,0.0
sigmoid,relu,32.0,32.0,0.5,sgd,0.0
relu,relu,256.0,64.0,0.5,adam,0.0
relu,tanh,256.0,128.0,0.0,sgd,0.0
relu,relu,256.0,256.0,0.0,adam,0.0
relu,tanh,64.0,64.0,0.5,sgd,0.0
sigmoid,tanh,256.0,32.0,0.0,sgd,0.0
relu,relu,64.0,32.0,0.5,adam,0.0
relu,tanh,32.0,256.0,0.0,sgd,0.0
relu,relu,64.0,256.0,0.0,adam,0.0
relu,tanh,32.0,128.0,0.0,adam,0.0
sigmoid,relu,32.0,256.0,0.0,adam,0.0
sigmoid,relu,32.0,32.0,0.0,adam,0.0
relu,tanh,256.0,64.0,0.5,sgd,0.0
sigmoid,tanh,64.0,32.0,0.0,sgd,0.0
relu,relu,64.0,128.0,0.0,adam,0.0
sigmoid,tanh,64.0,64.0,0.0,sgd,0.0
relu,tanh,128.0,256.0,0.5,sgd,0.0
relu,tanh,256.0,32.0,0.0,adam,0.0
relu,relu,128.0,32.0,0.0,sgd,0.0
sigmoid,relu,128.0,256.0,0.5,sgd,0.0
relu,relu,64.0,256.0,0.0,sgd,0.0
sigmoid,relu,128.0,256.0,0.0,adam,0.0
relu,tanh,32.0,32.0,0.0,sgd,0.0
relu,relu,128.0,64.0,0.5,adam,0.0
sigmoid,relu,256.0,256.0,0.0,adam,0.0
relu,relu,256.0,128.0,0.5,sgd,0.0
sigmoid,relu,64.0,32.0,0.0,sgd,0.0
relu,relu,32.0,256.0,0.5,adam,0.0
relu,relu,256.0,256.0,0.5,adam,0.0
sigmoid,tanh,256.0,128.0,0.0,adam,0.0
sigmoid,tanh,64.0,32.0,0.0,adam,0.0
relu,relu,256.0,128.0,0.5,adam,0.0
sigmoid,relu,32.0,64.0,0.0,sgd,0.0
relu,tanh,32.0,64.0,0.5,sgd,0.0
relu,relu,32.0,256.0,0.5,sgd,0.0
relu,relu,32.0,32.0,0.0,sgd,0.0
relu,relu,32.0,128.0,0.0,adam,0.0
relu,relu,128.0,256.0,0.5,sgd,0.0
relu,relu,256.0,128.0,0.0,adam,0.0
relu,tanh,256.0,32.0,0.0,sgd,0.0
relu,tanh,256.0,32.0,0.5,sgd,0.0
relu,relu,32.0,128.0,0.5,adam,0.0
relu,relu,128.0,64.0,0.0,sgd,0.0
relu,relu,128.0,128.0,0.0,sgd,0.0
sigmoid,relu,64.0,256.0,0.5,sgd,0.0
sigmoid,tanh,64.0,64.0,0.5,sgd,0.0
relu,relu,32.0,64.0,0.0,sgd,0.0
relu,tanh,128.0,32.0,0.5,adam,0.0
sigmoid,relu,64.0,64.0,0.0,adam,0.0
sigmoid,relu,32.0,128.0,0.5,sgd,0.0
relu,tanh,256.0,128.0,0.0,adam,0.0
relu,relu,128.0,256.0,0.0,adam,0.0
relu,relu,256.0,32.0,0.5,adam,0.0
relu,relu,32.0,32.0,0.5,sgd,0.0
relu,relu,64.0,128.0,0.0,sgd,0.0
sigmoid,relu,256.0,64.0,0.0,adam,0.0
relu,relu,32.0,256.0,0.0,adam,0.0
relu,relu,128.0,128.0,0.0,adam,0.0
relu,relu,256.0,256.0,0.5,sgd,0.0
relu,tanh,128.0,32.0,0.5,sgd,0.0
sigmoid,relu,32.0,64.0,0.0,adam,0.0
relu,tanh,128.0,128.0,0.5,adam,0.0
